X,Y,Z
61,39,117
61,39,116
61,39,105
61,39,104
61,39,93
61,39,92
61,39,81
61,39,80
61,39,69
61,39,68
61,39,56
61,39,44
61,39,32
61,39,31
61,39,20
61,39,19
61,40,117
61,40,105
61,40,93
61,40,92
61,40,81
61,40,80
61,40,68
61,40,56
61,40,44
61,40,32
61,40,20
61,40,19
60,20,116
60,20,115
60,20,104
60,20,103
60,20,91
60,20,79
60,20,67
60,20,55
60,20,43
60,20,42
60,20,31
60,20,30
60,20,19
60,20,18
60,21,116
60,21,115
60,21,104
60,21,103
60,21,92
60,21,91
60,21,80
60,21,79
60,21,67
60,21,55
60,21,54
60,21,43
60,21,42
60,21,31
60,21,30
60,21,19
60,21,18
60,22,117
60,22,116
60,22,115
60,22,104
60,22,103
60,22,92
60,22,91
60,22,80
60,22,79
60,22,78
60,22,68
60,22,67
60,22,66
60,22,56
60,22,55
60,22,54
60,22,44
60,22,43
60,22,42
60,22,31
60,22,30
60,22,19
60,22,18
60,23,117
60,23,116
60,23,115
60,23,105
60,23,104
60,23,103
60,23,92
60,23,91
60,23,80
60,23,79
60,23,78
60,23,68
60,23,67
60,23,66
60,23,56
60,23,55
60,23,54
60,23,44
60,23,43
60,23,42
60,23,32
60,23,31
60,23,30
60,23,19
60,23,18
60,24,117
60,24,116
60,24,115
60,24,105
60,24,104
60,24,103
60,24,93
60,24,92
60,24,91
60,24,90
60,24,80
60,24,79
60,24,78
60,24,68
60,24,67
60,24,66
60,24,56
60,24,55
60,24,54
60,24,44
60,24,43
60,24,42
60,24,32
60,24,31
60,24,30
60,24,20
60,24,19
60,24,18
60,24,17
60,25,117
60,25,116
60,25,115
60,25,105
60,25,104
60,25,103
60,25,102
60,25,93
60,25,92
60,25,91
60,25,90
60,25,81
60,25,80
60,25,79
60,25,78
60,25,69
60,25,68
60,25,67
60,25,66
60,25,56
60,25,55
60,25,54
60,25,44
60,25,43
60,25,42
60,25,32
60,25,31
60,25,30
60,25,20
60,25,19
60,25,18
60,25,17
60,26,117
60,26,116
60,26,115
60,26,105
60,26,104
60,26,103
60,26,102
60,26,93
60,26,92
60,26,91
60,26,90
60,26,81
60,26,80
60,26,79
60,26,78
60,26,69
60,26,68
60,26,67
60,26,66
60,26,57
60,26,56
60,26,55
60,26,54
60,26,44
60,26,43
60,26,42
60,26,32
60,26,31
60,26,30
60,26,29
60,26,20
60,26,19
60,26,18
60,26,17
60,27,118
60,27,117
60,27,116
60,27,115
60,27,105
60,27,104
60,27,103
60,27,102
60,27,93
60,27,92
60,27,91
60,27,90
60,27,81
60,27,80
60,27,79
60,27,78
60,27,69
60,27,68
60,27,67
60,27,66
60,27,57
60,27,56
60,27,55
60,27,54
60,27,45
60,27,44
60,27,43
60,27,42
60,27,32
60,27,31
60,27,30
60,27,29
60,27,20
60,27,19
60,27,18
60,27,17
60,28,118
60,28,117
60,28,116
60,28,115
60,28,106
60,28,105
60,28,104
60,28,103
60,28,102
60,28,93
60,28,92
60,28,91
60,28,90
60,28,81
60,28,80
60,28,79
60,28,78
60,28,69
60,28,68
60,28,67
60,28,66
60,28,57
60,28,56
60,28,55
60,28,54
60,28,45
60,28,44
60,28,43
60,28,42
60,28,33
60,28,32
60,28,31
60,28,30
60,28,29
60,28,20
60,28,19
60,28,18
60,28,17
60,29,118
60,29,117
60,29,116
60,29,115
60,29,106
60,29,105
60,29,104
60,29,103
60,29,102
60,29,94
60,29,93
60,29,92
60,29,91
60,29,90
60,29,81
60,29,80
60,29,79
60,29,78
60,29,69
60,29,68
60,29,67
60,29,66
60,29,57
60,29,56
60,29,55
60,29,54
60,29,45
60,29,44
60,29,43
60,29,42
60,29,33
60,29,32
60,29,31
60,29,30
60,29,29
60,29,21
60,29,20
60,29,19
60,29,18
60,29,17
60,30,118
60,30,117
60,30,116
60,30,115
60,30,106
60,30,105
60,30,104
60,30,103
60,30,102
60,30,94
60,30,93
60,30,92
60,30,91
60,30,90
60,30,81
60,30,80
